Subject,Start Date,Start Time,End Date,End Time,Description,Location
Core CPI m/m,04/10/2026,19:30,04/10/2026,20:30,"CPI lõi (bỏ thực phẩm/năng lượng). Lạm phát dai — trụ Fed.
F 0.3% · P 0.2% · A 0.2%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Core CPI y/y,04/10/2026,19:30,04/10/2026,20:30,"CPI lõi (bỏ thực phẩm/năng lượng). Lạm phát dai — trụ Fed.
F 2.7% · P 2.5% · A 2.6%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
PPI m/m,04/14/2026,19:30,04/14/2026,20:30,"Giá sản xuất. Pipeline, chưa phải giá tiêu dùng.
F 1.1% · P 0.5% · A 0.5%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
GDP m/m,04/16/2026,13:00,04/16/2026,14:00,"Tăng trưởng sản lượng. Nóng hơn forecast = growth mạnh hơn.
F 0.1% · P 0.1% · A 0.5%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Claimant Count Change,04/21/2026,13:00,04/21/2026,14:00,"Thay đổi số người nhận trợ cấp thất nghiệp Anh. Labor GBP.
F 22.6K · P 17.1K · A 26.8K
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Core Retail Sales m/m,04/21/2026,19:30,04/21/2026,20:30,"Bán lẻ lõi (bỏ xăng/ôtô). Nhu cầu nội địa.
F 1.4% · P 0.7% · A 1.9%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Retail Sales m/m,04/21/2026,19:30,04/21/2026,20:30,"Doanh số bán lẻ. Tiêu dùng — trụ tăng trưởng.
F 1.4% · P 0.7% · A 1.7%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Fed Chairman Warsh Testifies,04/21/2026,21:00,04/21/2026,22:00,"Chủ tịch Fed phát biểu. Tone policy; không có số thì chỉ phòng thủ.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Flash Manufacturing PMI,04/23/2026,15:30,04/23/2026,16:30,"Tin red GBP. Đứng ngoài lệnh mới quanh giờ này.
F 50.3 · P 51.0 · A 53.6
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Flash Services PMI,04/23/2026,15:30,04/23/2026,16:30,"Tin red GBP. Đứng ngoài lệnh mới quanh giờ này.
F 50.0 · P 50.5 · A 52.0
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
German Flash Services PMI,04/23/2026,21:00,04/23/2026,22:00,"Tin red EUR. Đứng ngoài lệnh mới quanh giờ này.
F 50.4 · P 50.9 · A 46.9
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",EUR
FOMC Press Conference,04/30/2026,01:30,04/30/2026,02:30,"Họp báo FOMC. Giải thích quyết định; đứng ngoài lệnh mới.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
BOE Monetary Policy Report,04/30/2026,18:00,04/30/2026,19:00,"Báo cáo chính sách BOE. Bối cảnh lạm phát / tăng trưởng.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
MPC Official Bank Rate Votes,04/30/2026,18:00,04/30/2026,19:00,"Phiếu MPC (BOE). Lệch phiếu = bất đồng trong hội đồng.
F 1-0-8 · P 0-0-9 · A 1-0-8
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Monetary Policy Summary,04/30/2026,18:00,04/30/2026,19:00,"Tóm tắt chính sách BOE. Văn bản, không chấm điểm tone nếu pack trống.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Official Bank Rate,04/30/2026,18:00,04/30/2026,19:00,"Lãi điều hành BOE. A vs F là bất ngờ, không phải path họp sau.
F 3.75% · P 3.75% · A 3.75%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
BOE Gov Bailey Speaks,04/30/2026,18:30,04/30/2026,19:30,"Thống đốc BOE nói. Red GBP — không có số thì không chấm hawk/dove.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",GBP
Main Refinancing Rate,04/30/2026,19:15,04/30/2026,20:15,"Lãi tái cấp vốn ECB. A vs F là bất ngờ policy EUR.
F 2.15% · P 2.15% · A 2.15%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",EUR
Monetary Policy Statement,04/30/2026,19:15,04/30/2026,20:15,"Tuyên bố NHTW (thường ECB). Văn bản policy — đứng ngoài lệnh mới.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",EUR
Advance GDP q/q,04/30/2026,19:30,04/30/2026,20:30,"GDP Mỹ lần 1. Tăng trưởng sớm, sẽ được sửa.
F 2.2% · P 0.5% · A 2.0%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Core PCE Price Index m/m,04/30/2026,19:30,04/30/2026,20:30,"PCE lõi — thước lạm phát Fed ưu tiên. Trụ dual mandate.
F 0.3% · P 0.4% · A 0.3%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
Employment Cost Index q/q,04/30/2026,19:30,04/30/2026,20:30,"Tin red USD. Đứng ngoài lệnh mới quanh giờ này.
F 0.8% · P 0.7% · A 0.9%
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
ECB Press Conference,04/30/2026,19:45,04/30/2026,20:45,"Họp báo ECB. Giải thích lãi EUR; cửa sổ red.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",EUR
FOMC Statement,04/30/2026,21:30,04/30/2026,22:30,"Tuyên bố FOMC. Lời Fed — không có số trong pack thì đừng chấm tone.
F — · P — · A —
Đứng ngoài lệnh mới quanh cửa sổ red. Asia/Ho_Chi_Minh",USD
